gene	tier	chrom	start	end	ensembl_id
LPIN1	D_actionable_pediatric	2	11677539.0	11828185.0	ENSG00000134324
LRRK2	D_actionable_pediatric	12	40196744.0	40369285.0	ENSG00000188906
LRTOMT	D_actionable_pediatric	11	72080331.0	72110782.0	ENSG00000284922
LSM14A	B_mitotic_GO	19	34172413.0	34229513.0	ENSG00000257103
LUZP1	B_mitotic_GO	1	23084030.0	23178152.0	ENSG00000169641
LZTS2	B_mitotic_GO	10	100996539.0	101007852.0	ENSG00000107816
MAD1L1	B_mitotic_GO	7	1815787.0	2233243.0	ENSG00000002822
MAD2L1	B_mitotic_GO	4	120055623.0	120067192.0	ENSG00000164109
MAD2L1BP	B_mitotic_GO	6	43629494.0	43640960.0	ENSG00000124688
MAD2L2	B_mitotic_GO	1	11657230.0	11692605.0	ENSG00000116670
MAGEA5P	B_mitotic_GO	X	152114599.0	152115540.0	ENSG00000242520
MAGT1	C_tumour_predisposition	X	77825747.0	77899271.0	ENSG00000102158
MAP10	B_mitotic_GO	1	232805416.0	232809929.0	ENSG00000212916
MAP3K20	B_mitotic_GO	2	173057181.0	173268909.0	ENSG00000091436
MAP4	B_mitotic_GO	3	47850678.0	48089299.0	ENSG00000047849
MAP9	B_mitotic_GO	4	155342658.0	155376970.0	ENSG00000164114
MAPK15	B_mitotic_GO	8	143716279.0	143722458.0	ENSG00000181085
MAPRE1	B_mitotic_GO	20	32819769.0	32856294.0	ENSG00000101367
MARVELD2	D_actionable_pediatric	5	69415065.0	69444330.0	ENSG00000152939
MAU2	B_mitotic_GO	19	19320811.0	19358754.0	ENSG00000129933
MBD4	C_tumour_predisposition	3	129430282.0	129440543.0	ENSG00000129071
MCEE	D_actionable_pediatric	2	71108926.0	71130279.0	ENSG00000124370
MCIDAS	D_actionable_pediatric	5	55218790.0	55227315.0	ENSG00000234602
MCMBP	B_mitotic_GO	10	119827779.0	119892556.0	ENSG00000197771
MEIKIN	B_mitotic_GO	5	131806990.0	131945698.0	ENSG00000239642
MEN1	C_tumour_predisposition,D_actionable_pediatric	11	64803500.0	64811294.0	ENSG00000133895
MET	C_tumour_predisposition,D_actionable_pediatric	7	116672051.0	116798391.0	ENSG00000105976
MIS12	B_mitotic_GO	17	5486285.0	5492080.0	ENSG00000167842
MISP	B_mitotic_GO	19	748404.0	764363.0	ENSG00000099812
MITD1	B_mitotic_GO	2	99161427.0	99181352.0	ENSG00000158411
MLH1	C_tumour_predisposition,D_actionable_pediatric	3	36992834.0	37051505.0	ENSG00000076242
MMAA	D_actionable_pediatric	4	145599042.0	145660033.0	ENSG00000151611
MMAB	D_actionable_pediatric	12	109553715.0	109573580.0	ENSG00000139428
MMADHC	D_actionable_pediatric	2	149564526.0	149587812.0	ENSG00000168288
MMUT	D_actionable_pediatric	6	49430360.0	49463321.0	ENSG00000146085
MOS	B_mitotic_GO	8	56112942.0	56113982.0	ENSG00000172680
MPZ	D_actionable_pediatric	1	161304735.0	161309974.0	ENSG00000158887
MRE11	B_mitotic_GO	11	94415570.0	94512676.0	ENSG00000020922
MSH2	C_tumour_predisposition,D_actionable_pediatric	2	47403067.0	47663146.0	ENSG00000095002
MSH3	C_tumour_predisposition	5	80654613.0	80880295.0	ENSG00000113318
MSH6	C_tumour_predisposition,D_actionable_pediatric	2	47695530.0	47810109.0	ENSG00000116062
MTMR3	B_mitotic_GO	22	29883141.0	30030868.0	ENSG00000100330
MTMR4	B_mitotic_GO	17	58489529.0	58517905.0	ENSG00000108389
MUTYH	C_tumour_predisposition,D_actionable_pediatric	1	45329163.0	45340893.0	ENSG00000132781
MYH10	B_mitotic_GO	17	8474205.0	8632303.0	ENSG00000133026
MYH11	D_actionable_pediatric	16	15703135.0	15858438.0	ENSG00000133392
MYH14	B_mitotic_GO	19	50188181.0	50310545.0	ENSG00000105357
MYH7	D_actionable_pediatric	14	23412732.0	23436137.0	ENSG00000092054
MYH9	B_mitotic_GO	22	36281277.0	36388018.0	ENSG00000100345
MYO15A	D_actionable_pediatric	17	18108756.0	18179802.0	ENSG00000091536
MYO3A	D_actionable_pediatric	10	25934198.0	26212533.0	ENSG00000095777
MYO6	D_actionable_pediatric	6	75748788.0	75919537.0	ENSG00000196586
MZT1	B_mitotic_GO	13	72708357.0	72727829.0	ENSG00000204899
NAA50	B_mitotic_GO	3	113716458.0	113746786.0	ENSG00000121579
NAGS	D_actionable_pediatric	17	44004581.0	44011213.0	ENSG00000161653
NCAPD2	B_mitotic_GO	12	6493356.0	6531970.0	ENSG00000010292
NCAPD3	B_mitotic_GO	11	134149039.0	134225504.0	ENSG00000151503
NCAPG	B_mitotic_GO	4	17810844.0	17848064.0	ENSG00000109805
NCAPG2	B_mitotic_GO	7	158625611.0	158704865.0	ENSG00000146918
NCAPH	B_mitotic_GO	2	96335728.0	96377091.0	ENSG00000121152
NCAPH2	B_mitotic_GO	22	50508127.0	50524781.0	ENSG00000025770
NDC80	B_mitotic_GO	18	2571520.0	2616635.0	ENSG00000080986
NEFL	D_actionable_pediatric	8	24950955.0	24956721.0	ENSG00000277586
NEK6	B_mitotic_GO	9	124257606.0	124412783.0	ENSG00000119408
NF2	D_actionable_pediatric	22	29603520.0	29698598.0	ENSG00000186575
NIPBL	B_mitotic_GO	5	36876716.0	37066422.0	ENSG00000164190
NOTCH3	D_actionable_pediatric	19	15159038.0	15201004.0	ENSG00000074181
NOX5	B_mitotic_GO	15	69014690.0	69062762.0	ENSG00000255346
NR5A2	B_mitotic_GO	1	200027575.0	200177420.0	ENSG00000116833
NRAS	D_actionable_pediatric	1	114704468.0	114716775.0	ENSG00000213281
NSL1	B_mitotic_GO	1	212726153.0	212791799.0	ENSG00000117697
NSMCE2	B_mitotic_GO	8	125091673.0	125368070.0	ENSG00000156831
NTHL1	C_tumour_predisposition	16	2039814.0	2047866.0	ENSG00000065057
NUDC	B_mitotic_GO	1	26900238.0	26946886.0	ENSG00000090273
NUF2	B_mitotic_GO	1	163266576.0	163355766.0	ENSG00000143228
NUMA1	B_mitotic_GO	11	72002860.0	72080693.0	ENSG00000137497
NUMB	B_mitotic_GO	14	73274146.0	73466167.0	ENSG00000133961
NUMBL	B_mitotic_GO	19	40665905.0	40690972.0	ENSG00000105245
NUP62	B_mitotic_GO	19	49906825.0	49929926.0	ENSG00000213024
NUSAP1	B_mitotic_GO	15	41320794.0	41381367.0	ENSG00000137804
OAT	D_actionable_pediatric	10	124397298.0	124419760.0	ENSG00000065154
ODAD1	D_actionable_pediatric	19	48296355.0	48321971.0	ENSG00000105479
ODAD2	D_actionable_pediatric	10	27775186.0	27999532.0	ENSG00000169126
ODAD4	D_actionable_pediatric	17	41930599.0	41966503.0	ENSG00000204815
OFD1	B_mitotic_GO	X	13734667.0	13777955.0	ENSG00000046651
ORC4	B_mitotic_GO	2	147930396.0	148021784.0	ENSG00000115947
OTC	D_actionable_pediatric	X	38327598.0	38424632.0	ENSG00000036473
OTOA	D_actionable_pediatric	16	21663968.0	21761935.0	ENSG00000155719
OTOG	D_actionable_pediatric	11	17547259.0	17647150.0	ENSG00000188162
OTOGL	D_actionable_pediatric	12	80099537.0	80380880.0	ENSG00000165899
PADI6	B_mitotic_GO	1	17372196.0	17401699.0	ENSG00000276747
PAFAH1B1	B_mitotic_GO	17	2593183.0	2685627.0	ENSG00000007168
PAH	D_actionable_pediatric	12	102836889.0	102958410.0	ENSG00000171759
PALB2	C_tumour_predisposition,D_actionable_pediatric	16	23603158.0	23641342.0	ENSG00000083093
PAM	B_mitotic_GO	5	102753981.0	103031149.0	ENSG00000145730
PARD3	B_mitotic_GO	10	34109560.0	34815424.0	ENSG00000148498
PARK7	D_actionable_pediatric	1	7952654.0	7985991.0	ENSG00000116288
PAX5	C_tumour_predisposition	9	36833269.0	37034268.0	ENSG00000196092
PBRM1	B_mitotic_GO	3	52544271.0	52685979.0	ENSG00000163939
PCSK9	D_actionable_pediatric	1	55039445.0	55064852.0	ENSG00000169174
PDCD10	D_actionable_pediatric	3	167677517.0	167735039.0	ENSG00000114209
PDCD6IP	B_mitotic_GO	3	33798318.0	33869707.0	ENSG00000170248
PDGFRA	C_tumour_predisposition,D_actionable_pediatric	4	54229130.0	54298246.0	ENSG00000134853
PDS5A	B_mitotic_GO	4	39822863.0	39977993.0	ENSG00000121892
PDS5B	B_mitotic_GO	13	32586315.0	32778320.0	ENSG00000083642
PDZD7	D_actionable_pediatric	10	101007679.0	101032295.0	ENSG00000186862
PHB2	B_mitotic_GO	12	6965327.0	6970841.0	ENSG00000215021
PHEX	D_actionable_pediatric	X	22032293.0	22494713.0	ENSG00000102174
PHF10	B_mitotic_GO	6	169703902.0	169725566.0	ENSG00000130024
PHF13	B_mitotic_GO	1	6613723.0	6624030.0	ENSG00000116273
PHYH	D_actionable_pediatric	10	13276854.0	13302412.0	ENSG00000107537
PIBF1	B_mitotic_GO	13	72781641.0	73018645.0	ENSG00000083535
PIK3R1	D_actionable_pediatric	5	68215740.0	68301821.0	ENSG00000145675
PINK1	D_actionable_pediatric	1	20633436.0	20652231.0	ENSG00000158828
PINX1	B_mitotic_GO	8	10725399.0	10839847.0	ENSG00000258724
PJVK	D_actionable_pediatric	2	178451346.0	178462408.0	ENSG00000204311
PKP2	D_actionable_pediatric	12	32790745.0	32896819.0	ENSG00000057294
PLEC	B_mitotic_GO	8	143915152.0	143977039.0	ENSG00000178209
PLK1	B_mitotic_GO	16	23677656.0	23690372.0	ENSG00000166851
PLN	D_actionable_pediatric	6	118506292.0	118562853.0	ENSG00000198523
PLSCR1	B_mitotic_GO	3	146511858.0	146544862.0	ENSG00000188313
PMP22	D_actionable_pediatric	17	15176316.0	15272292.0	ENSG00000109099
PMS2	C_tumour_predisposition,D_actionable_pediatric	7	5970925.0	6009130.0	ENSG00000122512
POFUT3	B_mitotic_GO	8	33369346.0	33473210.0	ENSG00000172728
POGZ	B_mitotic_GO	1	151402724.0	151459511.0	ENSG00000143442
POLD1	C_tumour_predisposition	19	50384204.0	50418018.0	ENSG00000062822
POLE	C_tumour_predisposition	12	132623753.0	132687376.0	ENSG00000177084
POT1	C_tumour_predisposition	7	124822386.0	124929983.0	ENSG00000128513
POU3F4	D_actionable_pediatric	X	83508290.0	83512127.0	ENSG00000196767
PPP1CB	D_actionable_pediatric	2	28751079.0	28802964.0	ENSG00000213639
PPP1CC	B_mitotic_GO	12	110708366.0	110742939.0	ENSG00000186298
PPP2R1A	B_mitotic_GO	19	52170936.0	52229518.0	ENSG00000105568
PPP2R1B	B_mitotic_GO	11	111726908.0	111766713.0	ENSG00000137713
PPP2R2A	B_mitotic_GO	8	26291507.0	26372692.0	ENSG00000221914
PPP2R2D	B_mitotic_GO	10	131900721.0	132012791.0	ENSG00000175470
PPP2R5C	B_mitotic_GO	14	101761639.0	101928953.0	ENSG00000078304
PPP2R5D	B_mitotic_GO	6	42984533.0	43012346.0	ENSG00000112640
PRAP1	B_mitotic_GO	10	133347147.0	133354013.0	ENSG00000165828
PRC1	B_mitotic_GO	15	90966038.0	90995629.0	ENSG00000198901
PRICKLE1	B_mitotic_GO	12	42456753.0	42590355.0	ENSG00000139174
PRKAR1A	D_actionable_pediatric	17	68511740.0	68551319.0	ENSG00000108946
PRKG1	D_actionable_pediatric	10	50990888.0	52298423.0	ENSG00000185532
PRKN	D_actionable_pediatric	6	161347417.0	162727775.0	ENSG00000185345
PRP4K	B_mitotic_GO	6	4021199.0	4064983.0	ENSG00000112739
PSRC1	B_mitotic_GO	1	109279053.0	109284107.0	ENSG00000134222
PTCH1	C_tumour_predisposition,D_actionable_pediatric	9	95442980.0	95517057.0	ENSG00000185920
PTEN	C_tumour_predisposition,D_actionable_pediatric	10	87862638.0	87971930.0	ENSG00000171862
PTPN11	D_actionable_pediatric	12	112418351.0	112509918.0	ENSG00000179295
PTPRQ	D_actionable_pediatric	12	80402178.0	80680273.0	ENSG00000139304
PTTG1	B_mitotic_GO	5	160421801.0	160428748.0	ENSG00000164611
PUM1	B_mitotic_GO	1	30931505.0	31065991.0	ENSG00000134644
PUM2	B_mitotic_GO	2	20248692.0	20352234.0	ENSG00000055917
RAB10	B_mitotic_GO	2	26033481.0	26138575.0	ENSG00000084733
RAB11A	B_mitotic_GO	15	65726054.0	65894232.0	ENSG00000103769
RAB35	B_mitotic_GO	12	120094328.0	120117502.0	ENSG00000111737
RACGAP1	B_mitotic_GO	12	49976923.0	50033136.0	ENSG00000161800
RAD18	B_mitotic_GO	3	8775402.0	8963773.0	ENSG00000070950
RAD21	B_mitotic_GO	8	116845934.0	116874924.0	ENSG00000164754
RAD21L1	B_mitotic_GO	20	1226027.0	1296421.0	ENSG00000244588
RAD51C	B_mitotic_GO,C_tumour_predisposition,D_actionable_pediatric	17	58692569.0	58735611.0	ENSG00000108384
RAD51D	C_tumour_predisposition,D_actionable_pediatric	17	35092221.0	35121522.0	ENSG00000185379
RAF1	D_actionable_pediatric	3	12582101.0	12664201.0	ENSG00000132155
RAN	B_mitotic_GO	12	130871993.0	130877678.0	ENSG00000132341
RANGRF	B_mitotic_GO	17	8288631.0	8290092.0	ENSG00000108961
RASA1	B_mitotic_GO	5	87267778.0	87394691.0	ENSG00000145715
RB1	B_mitotic_GO,C_tumour_predisposition,D_actionable_pediatric	13	48303710.0	48599436.0	ENSG00000139687
RBM20	D_actionable_pediatric	10	110643874.0	110839471.0	ENSG00000203867
RCC2	B_mitotic_GO	1	17406755.0	17439992.0	ENSG00000179051
RDX	D_actionable_pediatric	11	109864295.0	110297617.0	ENSG00000137710
REC8	B_mitotic_GO	14	24171853.0	24180923.0	ENSG00000100918
RET	C_tumour_predisposition,D_actionable_pediatric	10	43077026.0	43130351.0	ENSG00000165731
RGS14	B_mitotic_GO	5	177357654.0	177374390.0	ENSG00000169220
RHBDF2	C_tumour_predisposition	17	76470884.0	76501790.0	ENSG00000129667
RHOA	B_mitotic_GO	3	49359136.0	49412998.0	ENSG00000067560
RHOB	B_mitotic_GO	2	20447074.0	20449440.0	ENSG00000143878
RHOC	B_mitotic_GO	1	112699765.0	112707897.0	ENSG00000155366
RIOK2	B_mitotic_GO	5	97160867.0	97183297.0	ENSG00000058729
RIT1	D_actionable_pediatric	1	155897808.0	155911408.0	ENSG00000143622
RMDN1	B_mitotic_GO	8	86467055.0	86514357.0	ENSG00000176623
RMI2	B_mitotic_GO	16	11249619.0	11381662.0	ENSG00000175643
RNF103-CHMP3	B_mitotic_GO	2	86505668.0	86721122.0	ENSG00000249884
RNF43	C_tumour_predisposition	17	58353671.0	58417735.0	ENSG00000108375
ROCK1	B_mitotic_GO	18	20944612.0	21111882.0	ENSG00000067900
ROCK2	B_mitotic_GO	2	11179759.0	11348330.0	ENSG00000134318
ROPN1B	B_mitotic_GO	3	125969153.0	125983454.0	ENSG00000114547
RPE65	D_actionable_pediatric	1	68428822.0	68451103.0	ENSG00000116745
RPS10	D_actionable_pediatric	6	34417447.0	34426237.0	ENSG00000124614
RPS19	D_actionable_pediatric	19	41859848.0	41872931.0	ENSG00000105372
RPS24	D_actionable_pediatric	10	78033723.0	78056813.0	ENSG00000138326
RRS1	B_mitotic_GO	8	66429014.0	66430733.0	ENSG00000179041
RSPH1	D_actionable_pediatric	21	42472486.0	42496366.0	ENSG00000160188
RSPH4A	D_actionable_pediatric	6	116616474.0	116634765.0	ENSG00000111834
RTKN	B_mitotic_GO	2	74424131.0	74442422.0	ENSG00000114993
RUNX1	C_tumour_predisposition,D_actionable_pediatric	21	34787801.0	36004667.0	ENSG00000159216
RYR1	D_actionable_pediatric	19	38433691.0	38595273.0	ENSG00000196218
RYR2	D_actionable_pediatric	1	237042184.0	237833988.0	ENSG00000198626
S1PR2	D_actionable_pediatric	19	10221433.0	10231331.0	ENSG00000267534
SAMD9	C_tumour_predisposition	7	93099513.0	93118042.0	ENSG00000205413
SAMD9L	C_tumour_predisposition	7	93130056.0	93148410.0	ENSG00000177409
SAPCD2	B_mitotic_GO	9	137062127.0	137070593.0	ENSG00000186193
SCN1A	D_actionable_pediatric	2	165984641.0	166182806.0	ENSG00000144285
SCN5A	D_actionable_pediatric	3	38548057.0	38649743.0	ENSG00000183873
SEH1L	B_mitotic_GO	18	12947133.0	12987713.0	ENSG00000085415
SEPTIN1	B_mitotic_GO	16	30378135.0	30395991.0	ENSG00000180096
SEPTIN10	B_mitotic_GO	2	109542703.0	109614221.0	ENSG00000186522
SEPTIN11	B_mitotic_GO	4	76949700.0	77040942.0	ENSG00000138758
SEPTIN12	B_mitotic_GO	16	4777606.0	4788398.0	ENSG00000140623
SEPTIN14	B_mitotic_GO	7	55793540.0	55862755.0	ENSG00000154997
SEPTIN2	B_mitotic_GO	2	241314923.0	241354030.0	ENSG00000168385
SEPTIN3	B_mitotic_GO	22	41969443.0	41998221.0	ENSG00000100167
SEPTIN4	B_mitotic_GO	17	58519969.0	58544368.0	ENSG00000108387
SEPTIN5	B_mitotic_GO	22	19714117.0	19724781.0	ENSG00000184702
SEPTIN6	B_mitotic_GO	X	119615724.0	119694346.0	ENSG00000125354
SEPTIN7	B_mitotic_GO	7	35800932.0	35907110.0	ENSG00000122545
SEPTIN8	B_mitotic_GO	5	132750138.0	132807241.0	ENSG00000164402
SEPTIN9	B_mitotic_GO	17	77280569.0	77500596.0	ENSG00000184640
SERPINA1	D_actionable_pediatric	14	94376745.0	94391024.0	ENSG00000197249
SGO1	B_mitotic_GO	3	20155363.0	20186800.0	ENSG00000129810
SGO2	B_mitotic_GO	2	200510008.0	200584096.0	ENSG00000163535
SHCBP1L	B_mitotic_GO	1	182899865.0	182953525.0	ENSG00000157060
SHOC2	D_actionable_pediatric	10	110917932.0	111017314.0	ENSG00000108061
SIRT2	B_mitotic_GO	19	38878555.0	38900501.0	ENSG00000068903
SKA1	B_mitotic_GO	18	50374996.0	50394176.0	ENSG00000154839
SKA2	B_mitotic_GO	17	59109857.0	59155260.0	ENSG00000182628
SKA3	B_mitotic_GO	13	21152061.0	21176605.0	ENSG00000165480
SLC22A5	D_actionable_pediatric	5	132369493.0	132395615.0	ENSG00000197375
SLC25A13	D_actionable_pediatric	7	96120218.0	96322181.0	ENSG00000004864
SLC25A15	D_actionable_pediatric	13	40789409.0	40812460.0	ENSG00000102743
SLC26A4	D_actionable_pediatric	7	107660594.0	107717809.0	ENSG00000091137
SLC2A1	D_actionable_pediatric	1	42925353.0	42958904.0	ENSG00000117394
SLC39A4	D_actionable_pediatric	8	144409742.0	144416894.0	ENSG00000147804
SLC6A8	D_actionable_pediatric	X	153687914.0	153696591.0	ENSG00000130821
SMAD3	D_actionable_pediatric	15	67063763.0	67195173.0	ENSG00000166949
SMAD4	C_tumour_predisposition,D_actionable_pediatric	18	51028528.0	51085045.0	ENSG00000141646
SMARCA2	B_mitotic_GO	9	1980290.0	2193624.0	ENSG00000080503
SMARCA4	B_mitotic_GO,C_tumour_predisposition,D_actionable_pediatric	19	10960824.0	11079426.0	ENSG00000127616
SMARCB1	B_mitotic_GO,C_tumour_predisposition,D_actionable_pediatric	22	23786931.0	23838009.0	ENSG00000099956
SMARCC1	B_mitotic_GO	3	47585269.0	47782106.0	ENSG00000173473
SMARCC2	B_mitotic_GO	12	56162359.0	56189587.0	ENSG00000139613
SMARCD1	B_mitotic_GO	12	50085196.0	50101870.0	ENSG00000066117
SMARCD2	B_mitotic_GO	17	63832078.0	63843065.0	ENSG00000108604
SMARCD3	B_mitotic_GO	7	151238764.0	151277896.0	ENSG00000082014
SMARCE1	B_mitotic_GO	17	40624962.0	40648667.0	ENSG00000073584
SMC1A	B_mitotic_GO	X	53361522.0	53422750.0	ENSG00000072501
SMC1B	B_mitotic_GO	22	45344063.0	45413619.0	ENSG00000077935
SMC2	B_mitotic_GO	9	104093695.0	104144488.0	ENSG00000136824
SMC3	B_mitotic_GO	10	110567668.0	110606063.0	ENSG00000108055
SMC4	B_mitotic_GO	3	160399274.0	160437759.0	ENSG00000113810
SMC5	B_mitotic_GO	9	70258270.0	70354874.0	ENSG00000198887
SMC6	B_mitotic_GO	2	17662940.0	17800242.0	ENSG00000163029
SNCA	D_actionable_pediatric	4	89700345.0	89838321.0	ENSG00000145335
SNX18	B_mitotic_GO	5	54517707.0	54546586.0	ENSG00000178996
SNX33	B_mitotic_GO	15	75647797.0	75662301.0	ENSG00000173548
SNX9	B_mitotic_GO	6	157700387.0	157945077.0	ENSG00000130340
SON	B_mitotic_GO	21	33542214.0	33577481.0	ENSG00000159140
SOS1	D_actionable_pediatric	2	38962206.0	39124345.0	ENSG00000115904
SOS2	D_actionable_pediatric	14	50116801.0	50231930.0	ENSG00000100485
SOX5	B_mitotic_GO	12	23529504.0	24562544.0	ENSG00000134532
SPAG1	D_actionable_pediatric	8	100157853.0	100259278.0	ENSG00000104450
SPAG5	B_mitotic_GO	17	28577565.0	28599052.0	ENSG00000076382
SPART	B_mitotic_GO	13	36301638.0	36370217.0	ENSG00000133104
SPAST	B_mitotic_GO	2	32063525.0	32157637.0	ENSG00000021574
SPC24	B_mitotic_GO	19	11131419.0	11155815.0	ENSG00000161888
SPC25	B_mitotic_GO	2	168834132.0	168913371.0	ENSG00000152253
SPDL1	B_mitotic_GO	5	169583632.0	169604780.0	ENSG00000040275
SPICE1	B_mitotic_GO	3	113442718.0	113515606.0	ENSG00000163611
SPIRE1	B_mitotic_GO	18	12446512.0	12658129.0	ENSG00000134278
SPIRE2	B_mitotic_GO	16	89818179.0	89871320.0	ENSG00000204991
SPRED1	D_actionable_pediatric	15	38252076.0	38358502.0	ENSG00000166068
SPTBN1	B_mitotic_GO	2	54456266.0	54671446.0	ENSG00000115306
SSNA1	B_mitotic_GO	9	137188640.0	137190371.0	ENSG00000176101
STAG1	B_mitotic_GO	3	136336234.0	136752464.0	ENSG00000118007
STAG2	B_mitotic_GO	X	123960212.0	124422664.0	ENSG00000101972
STAG3	B_mitotic_GO	7	100177563.0	100214387.0	ENSG00000066923
STAMBP	B_mitotic_GO	2	73828916.0	73873670.0	ENSG00000124356
STK11	D_actionable_pediatric	19	1177558.0	1228431.0	ENSG00000118046
STMN1	B_mitotic_GO	1	25884181.0	25908470.0	ENSG00000117632
STRA8	B_mitotic_GO	7	135231979.0	135258666.0	ENSG00000146857
STRC	D_actionable_pediatric	15	43597892.0	43618800.0	ENSG00000242866
SUFU	C_tumour_predisposition	10	102503952.0	102633535.0	ENSG00000107882
TACC3	B_mitotic_GO	4	1712858.0	1745178.0	ENSG00000013810
TDRD12	B_mitotic_GO	19	32719735.0	32829580.0	ENSG00000173809
TEAD3	B_mitotic_GO	6	35473597.0	35497868.0	ENSG00000007866
TECRL	D_actionable_pediatric	4	64275255.0	64409578.0	ENSG00000205678
TECTA	D_actionable_pediatric	11	121101243.0	121191490.0	ENSG00000109927
TENT4A	B_mitotic_GO	5	6713291.0	6757045.0	ENSG00000112941
TEX14	B_mitotic_GO	17	58556678.0	58692055.0	ENSG00000121101
TGFB2	B_mitotic_GO,D_actionable_pediatric	1	218345336.0	218444619.0	ENSG00000092969
TGFB3	D_actionable_pediatric	14	75958066.0	75983026.0	ENSG00000119699
TGFBR1	D_actionable_pediatric	9	99104038.0	99154395.0	ENSG00000106799
TGFBR2	D_actionable_pediatric	3	30606478.0	30694249.0	ENSG00000163513
TMC1	D_actionable_pediatric	9	72521608.0	72838297.0	ENSG00000165091
TMEM43	D_actionable_pediatric	3	14124998.0	14143681.0	ENSG00000170876
TMIE	D_actionable_pediatric	3	46694528.0	46710886.0	ENSG00000181585
TNNC1	D_actionable_pediatric	3	52451082.0	52454071.0	ENSG00000114854
TNNT2	D_actionable_pediatric	1	201356606.0	201379773.0	ENSG00000118194
TOPAZ1	B_mitotic_GO	3	44241886.0	44332098.0	ENSG00000173769
TP53	D_actionable_pediatric	17	7661779.0	7687546.0	ENSG00000141510
TPR	B_mitotic_GO	1	186311188.0	186375693.0	ENSG00000047410
TPRN	D_actionable_pediatric	9	137191617.0	137204193.0	ENSG00000176058
TPX2	B_mitotic_GO	20	31739248.0	31801805.0	ENSG00000088325
TRDN	D_actionable_pediatric	6	123215088.0	123637316.0	ENSG00000186439
TRIM36	B_mitotic_GO	5	115124745.0	115180546.0	ENSG00000152503
TRIOBP	D_actionable_pediatric	22	37696983.0	37776581.0	ENSG00000100106
TRIP13	A_MVA_core,B_mitotic_GO	5	892849.0	919357.0	ENSG00000071539
TSC1	D_actionable_pediatric	9	132891348.0	132946874.0	ENSG00000165699
TSC2	D_actionable_pediatric	16	2047345.0	2089491.0	ENSG00000103197
TTC19	B_mitotic_GO	17	15999386.0	16068416.0	ENSG00000011295
TTK	B_mitotic_GO	6	80003887.0	80043580.0	ENSG00000112742
TTN	B_mitotic_GO,D_actionable_pediatric	2	178525989.0	178830802.0	ENSG00000155657
TTR	D_actionable_pediatric	18	31557008.0	31606585.0	ENSG00000118271
TUBA1A	B_mitotic_GO	12	49184146.0	49189324.0	ENSG00000167552
TUBA1B	B_mitotic_GO	12	49127780.0	49131398.0	ENSG00000123416
TUBA1C	B_mitotic_GO	12	49188736.0	49274600.0	ENSG00000167553
TUBB	B_mitotic_GO	6	30717435.0	30725538.0	ENSG00000196230
TUBG1	B_mitotic_GO	17	42609411.0	42615253.0	ENSG00000131462
TUBG2	B_mitotic_GO	17	42659223.0	42667007.0	ENSG00000037042
UBE2C	B_mitotic_GO	20	45812561.0	45816965.0	ENSG00000175063
UHRF1	B_mitotic_GO	19	4903080.0	4962154.0	ENSG00000276043
UNC119	B_mitotic_GO	17	28546705.0	28552655.0	ENSG00000109103
USP44	B_mitotic_GO	12	95515926.0	95553341.0	ENSG00000136014
USP8	B_mitotic_GO	15	50423584.0	50514421.0	ENSG00000138592
VHL	D_actionable_pediatric	3	10141764.0	10153676.0	ENSG00000134086
VPS13C	D_actionable_pediatric	15	61852389.0	62060482.0	ENSG00000129003
VPS35	D_actionable_pediatric	16	46656132.0	46689518.0	ENSG00000069329
VPS4A	B_mitotic_GO	16	69311299.0	69326939.0	ENSG00000132612
VPS4B	B_mitotic_GO	18	63389119.0	63422521.0	ENSG00000119541
WAPL	B_mitotic_GO	10	86435256.0	86521843.0	ENSG00000062650
WAS	D_actionable_pediatric	X	48676593.0	48691431.0	ENSG00000015285
WASHC5	B_mitotic_GO	8	125024260.0	125091819.0	ENSG00000164961
WRAP73	B_mitotic_GO	1	3630767.0	3652761.0	ENSG00000116213
WT1	C_tumour_predisposition,D_actionable_pediatric	11	32387775.0	32435885.0	ENSG00000184937
WWTR1	B_mitotic_GO	3	149517235.0	149736714.0	ENSG00000018408
XRCC3	B_mitotic_GO	14	103697569.0	103715504.0	ENSG00000126215
YTHDF2	B_mitotic_GO	1	28736608.0	28770214.0	ENSG00000198492
ZFP36L2	B_mitotic_GO	2	43221825.0	43226612.0	ENSG00000152518
ZFYVE19	B_mitotic_GO	15	40807086.0	40815084.0	ENSG00000166140
ZFYVE26	B_mitotic_GO	14	67727374.0	67816590.0	ENSG00000072121
ZNF207	B_mitotic_GO	17	32350122.0	32381885.0	ENSG00000010244
ZNF365	B_mitotic_GO	10	62374089.0	62482255.0	ENSG00000138311
ZW10	B_mitotic_GO	11	113729794.0	113773771.0	ENSG00000086827
ZWILCH	B_mitotic_GO	15	66504959.0	66550130.0	ENSG00000174442
ZWINT	B_mitotic_GO	10	56352710.0	56361392.0	ENSG00000122952
